checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type
>= 200 DM,9,Existing Credits Paid Back,Radio/TV,1126,100 - 500,>=7,2,Male (Div/Sep/Married),none,4,Real Estate,49,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,24,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1216,100 - 500,<1,4,Male (Single),none,4,Unknown/ No property,38,Bank,Own,2,SkilledEmployee/Official,2,None,Yes,Bad
< 0 DM,24,Existing Credits Paid Back,New Car,1207,<100,<1,4,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,24,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,10,Existing Credits Paid Back,New Car,1309,Unknown/ No Saving Ac,1 to 4,4,Male (Single),guarantor,4,Society Saving/ Life Insurance,27,none,Own,1,Unskilled Resident,1,None,Yes,Bad
>= 200 DM,15,Critical Account/Other Credit Existing(Not this bank),Used Car,2360,500 - 1000,1 to 4,2,Male (Single),none,2,car or other,36,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,15,All Credits Paid (this bank),New Car,6850,100 - 500,unemployed,1,Male (Single),none,2,Society Saving/ Life Insurance,34,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,2,Yes,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,Radio/TV,1413,<100,1 to 4,4,Male (Married/Widowed),none,2,Society Saving/ Life Insurance,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,39,Existing Credits Paid Back,Used Car,8588,100 - 500,>=7,4,Male (Single),none,2,car or other,45,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
< 0 DM,12,Existing Credits Paid Back,New Car,759,<100,4 to 7,4,Male (Single),none,2,Real Estate,26,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,36,Existing Credits Paid Back,Used Car,4686,<100,1 to 4,2,Male (Single),none,2,Unknown/ No property,32,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
>= 200 DM,15,Existing Credits Paid Back,Business,2687,<100,4 to 7,2,Male (Single),none,4,Society Saving/ Life Insurance,26,none,Rent,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,12,Delay in Payment in past,Radio/TV,585,<100,1 to 4,4,Male (Married/Widowed),co-applicant,4,Real Estate,20,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Existing Credits Paid Back,New Car,2255,Unknown/ No Saving Ac,<1,4,Male (Single),none,1,Society Saving/ Life Insurance,54,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,6,Critical Account/Other Credit Existing(Not this bank),New Car,609,<100,4 to 7,4,Female (Div/Sep/Married),none,3,Society Saving/ Life Insurance,37,none,Own,2,SkilledEmployee/Official,1,None,No,Good
< 0 DM,6,Critical Account/Other Credit Existing(Not this bank),New Car,1361,<100,<1,2,Male (Single),none,4,Real Estate,40,none,Own,1,Unskilled Resident,2,None,No,Good
No Checking Account,36,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,7127,<100,<1,2,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,23,none,Rent,2,SkilledEmployee/Official,1,Yes,Yes,Bad
< 0 DM,6,Existing Credits Paid Back,New Car,1203,100 - 500,>=7,3,Male (Single),none,2,Society Saving/ Life Insurance,43,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,6,Critical Account/Other Credit Existing(Not this bank),Radio/TV,700,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Unknown/ No property,36,none,For Free,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Repairs,5507,<100,>=7,3,Male (Single),none,4,Unknown/ No property,44,none,For Free,2,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Radio/TV,3190,<100,1 to 4,2,Female (Div/Sep/Married),none,2,Real Estate,24,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,48,No Credits taken/ All Credits Paid,Furniture/Equipment,7119,<100,1 to 4,3,Male (Single),none,4,Unknown/ No property,53,none,For Free,2,SkilledEmployee/Official,2,None,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,Used Car,3488,100 - 500,4 to 7,3,Female (Div/Sep/Married),none,4,car or other,23,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,18,Existing Credits Paid Back,Radio/TV,1113,<100,1 to 4,4,Female (Div/Sep/Married),guarantor,4,Real Estate,26,none,Own,1,Unskilled Resident,2,None,Yes,Good
0 - 20 DM,26,Existing Credits Paid Back,Used Car,7966,<100,<1,2,Male (Single),none,3,car or other,30,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),Education,1532,100 - 500,1 to 4,4,Female (Div/Sep/Married),none,3,car or other,31,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,4,Critical Account/Other Credit Existing(Not this bank),Radio/TV,1503,<100,4 to 7,2,Male (Single),none,1,Real Estate,42,none,Own,2,Unskilled Resident,2,None,Yes,Good
< 0 DM,36,Existing Credits Paid Back,Radio/TV,2302,<100,1 to 4,4,Male (Div/Sep/Married),none,4,car or other,31,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,6,Existing Credits Paid Back,New Car,662,<100,<1,3,Male (Single),none,4,Real Estate,41,none,Own,1,Unskilled Resident,2,Yes,Yes,Good
0 - 20 DM,36,Existing Credits Paid Back,Education,2273,<100,4 to 7,3,Male (Single),none,1,car or other,32,none,Own,2,SkilledEmployee/Official,2,None,Yes,Good
0 - 20 DM,15,Existing Credits Paid Back,New Car,2631,100 - 500,1 to 4,2,Female (Div/Sep/Married),none,4,car or other,28,none,Rent,2,SkilledEmployee/Official,1,Yes,Yes,Bad
No Checking Account,12,Delay in Payment in past,Used Car,1503,<100,1 to 4,4,Male (Married/Widowed),none,4,Real Estate,41,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Radio/TV,1311,100 - 500,4 to 7,4,Male (Married/Widowed),none,3,Society Saving/ Life Insurance,26,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Radio/TV,3105,Unknown/ No Saving Ac,<1,4,Male (Single),none,2,car or other,25,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,21,Critical Account/Other Credit Existing(Not this bank),Education,2319,<100,<1,2,Male (Div/Sep/Married),none,1,car or other,33,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,6,Existing Credits Paid Back,New Car,1374,Unknown/ No Saving Ac,unemployed,4,Female (Div/Sep/Married),none,3,Society Saving/ Life Insurance,75,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,18,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,3612,<100,>=7,3,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,37,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,48,Existing Credits Paid Back,New Car,7763,<100,>=7,4,Male (Single),none,4,Unknown/ No property,42,Bank,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Bad
>= 200 DM,18,Existing Credits Paid Back,Furniture/Equipment,3049,<100,<1,1,Female (Div/Sep/Married),none,1,Society Saving/ Life Insurance,45,Stores,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,Radio/TV,1534,<100,<1,1,Male (Married/Widowed),none,1,Real Estate,23,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,Delay in Payment in past,New Car,2032,<100,>=7,4,Male (Single),none,4,Unknown/ No property,60,none,For Free,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,30,Existing Credits Paid Back,Furniture/Equipment,6350,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Society Saving/ Life Insurance,31,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
>= 200 DM,18,Existing Credits Paid Back,Furniture/Equipment,2864,<100,1 to 4,2,Male (Single),none,1,Real Estate,34,none,Own,1,Unskilled Resident,2,None,Yes,Bad
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),New Car,1255,<100,>=7,4,Male (Single),none,4,Real Estate,61,none,Own,2,Unskilled Resident,1,None,Yes,Good
< 0 DM,24,Delay in Payment in past,New Car,1333,<100,unemployed,4,Male (Single),none,2,Real Estate,43,none,For Free,2,SkilledEmployee/Official,2,None,Yes,Bad
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),New Car,2022,<100,1 to 4,4,Female (Div/Sep/Married),none,4,car or other,37,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Radio/TV,1552,<100,4 to 7,3,Male (Single),none,1,car or other,32,Bank,Own,1,SkilledEmployee/Official,2,None,Yes,Good
< 0 DM,12,All Credits Paid (this bank),Radio/TV,626,<100,1 to 4,4,Female (Div/Sep/Married),none,4,Real Estate,24,Bank,Own,1,Unskilled Resident,1,None,Yes,Bad
No Checking Account,48,Critical Account/Other Credit Existing(Not this bank),Used Car,8858,Unknown/ No Saving Ac,4 to 7,2,Male (Single),none,1,Unknown/ No property,35,none,For Free,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,12,Critical Account/Other Credit Existing(Not this bank),Repairs,996,Unknown/ No Saving Ac,4 to 7,4,Female (Div/Sep/Married),none,4,Real Estate,23,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,6,All Credits Paid (this bank),Radio/TV,1750,500 - 1000,>=7,2,Male (Single),none,4,Society Saving/ Life Insurance,45,Bank,Own,1,Unskilled Resident,2,None,Yes,Good
< 0 DM,48,Existing Credits Paid Back,Radio/TV,6999,<100,4 to 7,1,Male (Married/Widowed),guarantor,1,Real Estate,34,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Bad
0 - 20 DM,12,Critical Account/Other Credit Existing(Not this bank),New Car,1995,100 - 500,<1,4,Male (Single),none,1,car or other,27,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,9,Existing Credits Paid Back,Education,1199,<100,4 to 7,4,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,67,none,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,Radio/TV,1331,<100,<1,2,Male (Single),none,1,car or other,22,Stores,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,18,No Credits taken/ All Credits Paid,New Car,2278,100 - 500,<1,3,Female (Div/Sep/Married),none,3,car or other,28,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,21,No Credits taken/ All Credits Paid,New Car,5003,Unknown/ No Saving Ac,1 to 4,1,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,29,Bank,Own,2,SkilledEmployee/Official,1,Yes,Yes,Bad
< 0 DM,24,All Credits Paid (this bank),Furniture/Equipment,3552,<100,4 to 7,3,Male (Single),none,4,car or other,27,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,18,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,1928,<100,<1,2,Male (Single),none,2,Real Estate,31,none,Own,2,Unskilled Resident,1,None,Yes,Bad
< 0 DM,24,Existing Credits Paid Back,Used Car,2964,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Unknown/ No property,49,Bank,For Free,1,SkilledEmployee/Official,2,Yes,Yes,Good
< 0 DM,24,All Credits Paid (this bank),Radio/TV,1546,<100,4 to 7,4,Male (Single),guarantor,4,car or other,24,Bank,Rent,1,Unskilled Resident,1,None,Yes,Bad
>= 200 DM,6,Delay in Payment in past,Radio/TV,683,<100,<1,2,Female (Div/Sep/Married),none,1,Society Saving/ Life Insurance,29,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,36,Existing Credits Paid Back,New Car,12389,Unknown/ No Saving Ac,1 to 4,1,Male (Single),none,4,Unknown/ No property,37,none,For Free,1,SkilledEmployee/Official,1,Yes,Yes,Bad
0 - 20 DM,24,Delay in Payment in past,Business,4712,Unknown/ No Saving Ac,1 to 4,4,Male (Single),none,2,Society Saving/ Life Insurance,37,Bank,Own,2,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,24,Delay in Payment in past,Radio/TV,1553,100 - 500,4 to 7,3,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,23,none,Rent,2,SkilledEmployee/Official,1,Yes,Yes,Good
< 0 DM,12,Existing Credits Paid Back,New Car,1372,<100,4 to 7,2,Male (Div/Sep/Married),none,3,car or other,36,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Radio/TV,2578,>=1000,>=7,2,Male (Single),none,2,car or other,34,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,48,Existing Credits Paid Back,Radio/TV,3979,Unknown/ No Saving Ac,4 to 7,4,Male (Single),none,1,car or other,41,none,Own,2,SkilledEmployee/Official,2,Yes,Yes,Good
< 0 DM,48,Existing Credits Paid Back,Radio/TV,6758,<100,1 to 4,3,Female (Div/Sep/Married),none,2,car or other,31,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Bad
< 0 DM,24,Existing Credits Paid Back,Furniture/Equipment,3234,<100,<1,4,Female (Div/Sep/Married),none,4,Real Estate,23,none,Rent,1,Unskilled Resident,1,Yes,Yes,Bad
No Checking Account,30,Critical Account/Other Credit Existing(Not this bank),Radio/TV,5954,<100,4 to 7,3,Male (Single),co-applicant,2,car or other,38,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Used Car,5433,Unknown/ No Saving Ac,unemployed,2,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,26,none,Rent,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
< 0 DM,15,Existing Credits Paid Back,Business,806,<100,1 to 4,4,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,22,none,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,9,Existing Credits Paid Back,Radio/TV,1082,<100,>=7,4,Male (Single),none,4,car or other,27,none,Own,2,Unskilled Resident,1,None,Yes,Good
No Checking Account,15,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,2788,<100,4 to 7,2,Female (Div/Sep/Married),co-applicant,3,car or other,24,Bank,Own,2,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,12,Existing Credits Paid Back,Radio/TV,2930,<100,4 to 7,2,Female (Div/Sep/Married),none,1,Real Estate,27,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Education,1927,Unknown/ No Saving Ac,1 to 4,3,Female (Div/Sep/Married),none,2,car or other,33,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,36,Critical Account/Other Credit Existing(Not this bank),New Car,2820,<100,<1,4,Male (Div/Sep/Married),none,4,car or other,27,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,Existing Credits Paid Back,Retraining,937,<100,<1,4,Male (Married/Widowed),none,3,car or other,27,none,Own,2,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,18,Critical Account/Other Credit Existing(Not this bank),New Car,1056,<100,>=7,3,Male (Single),guarantor,3,Real Estate,30,Bank,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,12,Critical Account/Other Credit Existing(Not this bank),New Car,3124,<100,<1,1,Male (Single),none,3,Real Estate,49,Bank,Own,2,Unskilled Resident,2,None,Yes,Good
No Checking Account,9,Existing Credits Paid Back,Furniture/Equipment,1388,<100,1 to 4,4,Female (Div/Sep/Married),none,2,Real Estate,26,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,36,Existing Credits Paid Back,Repairs,2384,<100,<1,4,Male (Single),none,1,Unknown/ No property,33,none,Rent,1,Unskilled Resident,1,None,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,New Car,2133,Unknown/ No Saving Ac,>=7,4,Female (Div/Sep/Married),none,4,Unknown/ No property,52,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Furniture/Equipment,2039,<100,1 to 4,1,Female (Div/Sep/Married),none,4,Real Estate,20,Bank,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,9,Critical Account/Other Credit Existing(Not this bank),New Car,2799,<100,1 to 4,2,Male (Single),none,2,Real Estate,36,none,Rent,2,SkilledEmployee/Official,2,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Furniture/Equipment,1289,<100,1 to 4,4,Male (Single),guarantor,1,Society Saving/ Life Insurance,21,none,Own,1,Unskilled Resident,1,None,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Domestic Appliances,1217,<100,1 to 4,4,Male (Married/Widowed),none,3,Real Estate,47,none,Own,1,Unskilled Resident,1,Yes,Yes,Bad
< 0 DM,12,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,2246,<100,>=7,3,Male (Single),none,3,Society Saving/ Life Insurance,60,none,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,12,Critical Account/Other Credit Existing(Not this bank),Radio/TV,385,<100,4 to 7,4,Female (Div/Sep/Married),none,3,Real Estate,58,none,Own,4,Unskilled Resident,1,Yes,Yes,Good
0 - 20 DM,24,Delay in Payment in past,New Car,1965,Unknown/ No Saving Ac,1 to 4,4,Female (Div/Sep/Married),none,4,car or other,42,none,Rent,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,21,Existing Credits Paid Back,Business,1572,>=1000,>=7,4,Female (Div/Sep/Married),none,4,Real Estate,36,Bank,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,24,Existing Credits Paid Back,New Car,2718,<100,1 to 4,3,Female (Div/Sep/Married),none,4,Society Saving/ Life Insurance,20,none,Rent,1,Unskilled Resident,1,Yes,Yes,Bad
< 0 DM,24,All Credits Paid (this bank),others,1358,Unknown/ No Saving Ac,>=7,4,Male (Single),none,3,car or other,40,Stores,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
0 - 20 DM,6,All Credits Paid (this bank),New Car,931,100 - 500,<1,1,Female (Div/Sep/Married),none,1,Society Saving/ Life Insurance,32,Stores,Own,1,Unskilled Resident,1,None,Yes,Bad
< 0 DM,24,Existing Credits Paid Back,New Car,1442,<100,4 to 7,4,Female (Div/Sep/Married),none,4,car or other,23,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,24,No Credits taken/ All Credits Paid,Business,4241,<100,1 to 4,1,Male (Single),none,4,Real Estate,36,none,Own,3,Unskilled Resident,1,Yes,Yes,Bad
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),New Car,2775,<100,4 to 7,2,Male (Single),none,2,Society Saving/ Life Insurance,31,Bank,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,24,Delay in Payment in past,Business,3863,<100,1 to 4,1,Male (Single),none,2,Unknown/ No property,32,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,7,Existing Credits Paid Back,Radio/TV,2329,<100,<1,1,Female (Div/Sep/Married),guarantor,1,Real Estate,45,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
0 - 20 DM,9,Existing Credits Paid Back,Furniture/Equipment,918,<100,1 to 4,4,Female (Div/Sep/Married),none,1,Society Saving/ Life Insurance,30,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,24,All Credits Paid (this bank),Education,1837,<100,4 to 7,4,Female (Div/Sep/Married),none,4,Unknown/ No property,34,Bank,For Free,1,Unskilled Resident,1,None,Yes,Bad
No Checking Account,36,Existing Credits Paid Back,Furniture/Equipment,3349,<100,1 to 4,4,Female (Div/Sep/Married),none,2,car or other,28,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Bad
>= 200 DM,10,Existing Credits Paid Back,Furniture/Equipment,1275,<100,<1,4,Female (Div/Sep/Married),none,2,Society Saving/ Life Insurance,23,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,24,All Credits Paid (this bank),Furniture/Equipment,2828,500 - 1000,1 to 4,4,Male (Single),none,4,Real Estate,22,Stores,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,24,Critical Account/Other Credit Existing(Not this bank),Business,4526,<100,1 to 4,3,Male (Single),none,2,Real Estate,74,none,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,36,Existing Credits Paid Back,Radio/TV,2671,100 - 500,1 to 4,4,Female (Div/Sep/Married),co-applicant,4,Unknown/ No property,50,none,For Free,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,18,Existing Credits Paid Back,Radio/TV,2051,<100,<1,4,Male (Single),none,1,Real Estate,33,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,15,Existing Credits Paid Back,Used Car,1300,Unknown/ No Saving Ac,>=7,4,Male (Single),none,4,Unknown/ No property,45,Bank,For Free,1,SkilledEmployee/Official,2,None,Yes,Good
< 0 DM,12,Existing Credits Paid Back,Domestic Appliances,741,100 - 500,unemployed,4,Female (Div/Sep/Married),none,3,Society Saving/ Life Insurance,22,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
>= 200 DM,10,Existing Credits Paid Back,New Car,1240,100 - 500,>=7,1,Female (Div/Sep/Married),none,4,Unknown/ No property,48,none,For Free,1,Unskilled Resident,2,None,Yes,Bad
< 0 DM,21,Existing Credits Paid Back,Radio/TV,3357,>=1000,<1,4,Female (Div/Sep/Married),none,2,car or other,29,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,24,All Credits Paid (this bank),Used Car,3632,<100,1 to 4,1,Female (Div/Sep/Married),guarantor,4,car or other,22,Bank,Rent,1,SkilledEmployee/Official,1,None,No,Good
No Checking Account,18,Delay in Payment in past,Furniture/Equipment,1808,<100,4 to 7,4,Female (Div/Sep/Married),none,1,Real Estate,22,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,48,No Credits taken/ All Credits Paid,Business,12204,Unknown/ No Saving Ac,1 to 4,2,Male (Single),none,2,car or other,48,Bank,Own,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,Yes,Yes,Good
0 - 20 DM,60,Delay in Payment in past,Radio/TV,9157,Unknown/ No Saving Ac,1 to 4,2,Male (Single),none,2,Unknown/ No property,27,none,For Free,1,Mgmt/Self-Emp/Qual-Emp/Officer,1,None,Yes,Good
< 0 DM,6,Critical Account/Other Credit Existing(Not this bank),New Car,3676,<100,1 to 4,1,Male (Single),none,3,Real Estate,37,none,Rent,3,SkilledEmployee/Official,2,None,Yes,Good
0 - 20 DM,30,Existing Credits Paid Back,Furniture/Equipment,3441,100 - 500,1 to 4,2,Female (Div/Sep/Married),co-applicant,4,car or other,21,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,New Car,640,<100,1 to 4,4,Male (Div/Sep/Married),none,2,Real Estate,49,none,Own,1,Unskilled Resident,1,None,Yes,Good
0 - 20 DM,21,Critical Account/Other Credit Existing(Not this bank),Business,3652,<100,4 to 7,2,Male (Single),none,3,Society Saving/ Life Insurance,27,none,Own,2,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,18,Critical Account/Other Credit Existing(Not this bank),New Car,1530,<100,1 to 4,3,Male (Single),none,2,Society Saving/ Life Insurance,32,Bank,Own,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,48,Existing Credits Paid Back,Business,3914,Unknown/ No Saving Ac,1 to 4,4,Male (Div/Sep/Married),none,2,Real Estate,38,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
< 0 DM,12,Existing Credits Paid Back,Furniture/Equipment,1858,<100,<1,4,Female (Div/Sep/Married),none,1,car or other,22,none,Rent,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,Existing Credits Paid Back,Radio/TV,2600,<100,1 to 4,4,Male (Single),none,4,Unknown/ No property,65,none,For Free,2,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,15,Existing Credits Paid Back,Radio/TV,1979,Unknown/ No Saving Ac,>=7,4,Male (Single),none,2,car or other,35,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
>= 200 DM,6,Existing Credits Paid Back,Furniture/Equipment,2116,<100,1 to 4,2,Male (Single),none,2,Real Estate,41,none,Own,1,SkilledEmployee/Official,1,Yes,Yes,Good
0 - 20 DM,9,All Credits Paid (this bank),New Car,1437,100 - 500,4 to 7,2,Male (Single),none,3,Unknown/ No property,29,none,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
No Checking Account,42,Critical Account/Other Credit Existing(Not this bank),Furniture/Equipment,4042,500 - 1000,1 to 4,4,Male (Single),none,4,Real Estate,36,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,9,Existing Credits Paid Back,Education,3832,Unknown/ No Saving Ac,>=7,1,Male (Single),none,4,Real Estate,64,none,Own,1,Unskilled Resident,1,None,Yes,Good
< 0 DM,24,Existing Credits Paid Back,Radio/TV,3660,<100,1 to 4,2,Female (Div/Sep/Married),none,4,car or other,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
< 0 DM,18,All Credits Paid (this bank),Furniture/Equipment,1553,<100,1 to 4,4,Male (Single),none,3,car or other,44,Bank,Own,1,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,15,Existing Credits Paid Back,Radio/TV,1444,Unknown/ No Saving Ac,<1,4,Male (Single),none,1,Society Saving/ Life Insurance,23,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,9,Existing Credits Paid Back,Furniture/Equipment,1980,<100,<1,2,Female (Div/Sep/Married),co-applicant,2,car or other,19,none,Rent,2,SkilledEmployee/Official,1,None,Yes,Bad
0 - 20 DM,24,Existing Credits Paid Back,New Car,1355,<100,<1,3,Female (Div/Sep/Married),none,4,car or other,25,none,Own,1,Unskilled Resident,1,Yes,Yes,Bad
No Checking Account,12,Existing Credits Paid Back,Education,1393,<100,>=7,4,Male (Single),none,4,Society Saving/ Life Insurance,47,Bank,Own,3,SkilledEmployee/Official,2,Yes,Yes,Good
No Checking Account,24,Existing Credits Paid Back,Radio/TV,1376,500 - 1000,4 to 7,4,Female (Div/Sep/Married),none,1,car or other,28,none,Own,1,SkilledEmployee/Official,1,None,Yes,Good
No Checking Account,60,Delay in Payment in past,Radio/TV,15653,<100,4 to 7,2,Male (Single),none,4,car or other,21,none,Own,2,SkilledEmployee/Official,1,Yes,Yes,Good
No Checking Account,12,Existing Credits Paid Back,Radio/TV,1493,<100,<1,4,Female (Div/Sep/Married),none,3,car or other,34,none,Own,1,SkilledEmployee/Official,2,None,Yes,Good
